job_id,plan_status,priority_rank,priority_score,asset_id,section_id,department,work_type,duration_min,deadline,block_id,block_date,scheduled_start,scheduled_end,block_type,block_restrictions,block_isolation_required,train_conflict_checked,optimizer_candidate_count,optimizer_reason_code,optimizer_reason_detail,heuristic_plan_status,heuristic_block_id,heuristic_scheduled_start,assignment_changed
J027,SCHEDULED,25,56.29,A001,S02,Engineering,Ballast Maintenance,75,2026-09-02,B003,2026-08-30,2026-08-30 14:26,2026-08-30 15:41,Emergency,Limited speed,Yes,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B003,2026-08-30 14:26,False
J012,UNSCHEDULED,26,55.34,A007,S08,Engineering,Ballast Maintenance,30,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J011,UNSCHEDULED,27,55.09,A006,S02,Engineering,Ballast Maintenance,75,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J006,UNSCHEDULED,28,54.87,A018,S02,Traction,OHE Repair,90,2026-09-07,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J019,SCHEDULED,29,54.05,A005,S07,Engineering,Track Repair,30,2026-09-04,B014,2026-08-30,2026-08-30 06:00,2026-08-30 06:30,Planned,Limited speed,Yes,True,0,UNCHANGED,Existing assignment remained unchanged.,SCHEDULED,B014,2026-08-30 07:30,True
J004,UNSCHEDULED,30,53.75,A008,S10,Engineering,Track Inspection,30,2026-09-05,,,,,,,,True,0,NO_FEASIBLE_REPLACEMENT,Original block B020 became unavailable and no feasible replacement window remained after train and frozen-job constraints.,SCHEDULED,B019,2026-08-30 10:15,True
J037,UNSCHEDULED,31,53.66,A016,S05,S&T,Signal Inspection,45,2026-09-02,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J008,UNSCHEDULED,32,49.61,A002,S09,Engineering,Ballast Maintenance,60,2026-09-03,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J017,UNSCHEDULED,33,49.22,A017,S10,Traction,OHE Repair,60,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J025,UNSCHEDULED,34,48.62,A001,S02,Engineering,Track Inspection,60,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J009,UNSCHEDULED,35,48.53,A014,S07,S&T,Signal Inspection,75,2026-09-05,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J007,UNSCHEDULED,36,48.06,A004,S07,Engineering,Track Inspection,75,2026-09-07,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J022,UNSCHEDULED,37,44.61,A004,S07,Engineering,Track Repair,120,2026-09-08,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J028,UNSCHEDULED,38,37.8,A001,S02,Engineering,Ballast Maintenance,60,2026-09-04,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J023,UNSCHEDULED,39,36.16,A005,S07,Engineering,Track Inspection,60,2026-09-09,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
J021,UNSCHEDULED,40,31.08,A002,S09,Engineering,Ballast Maintenance,45,2026-09-09,,,,,,,,True,0,UNCHANGED,Existing assignment remained unchanged.,UNSCHEDULED,,,False
