job_id,event_id,event_type,event_block_id,impact_type,previous_status,new_status,previous_block,new_block,previous_start,new_start,change_type,change_reason
J012,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J013,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B017,B017,2026-08-30 12:00,2026-08-30 12:00,UNCHANGED,No change required.
J014,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B014,B014,2026-08-30 06:30,2026-08-30 06:30,UNCHANGED,No change required.
J015,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B015,B015,2026-08-30 12:00,2026-08-30 12:00,UNCHANGED,No change required.
J016,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J017,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J018,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J019,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B014,B014,2026-08-30 06:00,2026-08-30 06:00,UNCHANGED,No change required.
J020,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J021,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J022,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J023,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J024,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J025,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J026,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J027,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B003,B003,2026-08-30 14:26,2026-08-30 14:26,UNCHANGED,No change required.
J028,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J029,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,INDIRECT,SCHEDULED,UNSCHEDULED,B019,,2026-08-30 09:30,,DROPPED,Moved or reconsidered as part of cascading recovery.
J030,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J031,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B017,B017,2026-08-30 12:30,2026-08-30 12:30,UNCHANGED,No change required.
J032,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J033,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J034,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J035,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J036,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,DIRECT,SCHEDULED,SCHEDULED,B020,B019,2026-08-30 06:30,2026-08-30 09:30:00,RESCHEDULED,Directly affected by disruption.
J037,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J038,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J039,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,UNSCHEDULED,UNSCHEDULED,,,,,UNCHANGED,No change required.
J040,EVT-B020-CASCADE-001,BLOCK_UNAVAILABLE,B020,UNAFFECTED,SCHEDULED,SCHEDULED,B007,B007,2026-08-30 22:00,2026-08-30 22:00,UNCHANGED,No change required.
