job_id,asset_id,department,work_type,description,duration_min,priority,deadline,status,block_required,isolation_required,created_date,id,section,block,start_time,end_time,date,created_by,remarks
J030,A023,S&T,Point Machine Maintenance,Maintenance required for A023,90,Medium,2026-09-04,Pending,Yes,No,2026-08-27,,,,,,,,
J031,A020,Traction,OHE Repair,Maintenance required for A020,30,Medium,2026-09-06,Pending,Yes,No,2026-08-08,,,,,,,,
J032,A013,S&T,Point Machine Maintenance,Maintenance required for A013,90,High,2026-09-01,Pending,Yes,Yes,2026-08-17,,,,,,,,
J033,A020,Traction,OHE Repair,Maintenance required for A020,75,High,2026-08-31,Pending,Yes,No,2026-08-23,,,,,,,,
J034,A015,S&T,Signal Repair,Maintenance required for A015,120,Medium,2026-09-03,Pending,Yes,No,2026-08-27,,,,,,,,
J035,A003,Engineering,Track Inspection,Maintenance required for A003,45,High,2026-09-02,Pending,Yes,Yes,2026-08-25,,,,,,,,
J036,A008,Engineering,Track Repair,Maintenance required for A008,90,Critical,2026-08-30,Pending,Yes,No,2026-08-11,,,,,,,,
J037,A016,S&T,Signal Inspection,Maintenance required for A016,45,Medium,2026-09-02,Pending,Yes,No,2026-08-22,,,,,,,,
J038,A002,Engineering,Rail Replacement,Maintenance required for A002,30,High,2026-09-01,Pending,Yes,No,2026-08-13,,,,,,,,
J039,A020,Traction,OHE Repair,Maintenance required for A020,90,High,2026-09-03,Pending,Yes,No,2026-08-02,,,,,,,,
J040,A009,Engineering,Track Inspection,Maintenance required for A009,120,High,2026-09-03,Pending,Yes,No,2026-08-15,,,,,,,,
MR-41,A001,Engineering,Track Tamping,Track Tamping,90,High,2026-08-31,OPEN,Yes,Yes,2026-08-31,MR-41,S02,B003,10:00,12:00,2026-05-20,ENG001,
MR-42,A001,Engineering,ai,ai,120,Critical,2026-08-31,OPEN,Yes,Yes,2026-08-31,MR-42,s04,B012,10:00,12:00,2026-05-20,ENG001,
